State	Total population	Hispanic (of any race)	Non-Hispanic White	Non-Hispanic Black	Non-Hispanic Asian	Non-Hispanic American Indian
Alabama	4,874,747	201,970	3,191,450	1,302,295	65,494	22,209
Alaska	739,795	51,712	448,081	21,192	48,569	105,146
Arizona	7,016,270	2,202,173	3,836,639	290,379	225,810	274,496
Arkansas	3,004,279	223,764	2,173,307	455,500	46,583	16,901
California	39,536,653	15,477,306	14,616,636	2,164,239	5,679,986	147,880
Colorado	5,607,154	1,206,724	3,822,055	219,500	176,176	32,102
Connecticut	3,588,184	578,833	2,393,694	354,320	162,564	7,486
Delaware	961,939	89,540	597,917	206,690	38,404	2,344
District of Columbia	693,972	76,526	253,416	314,705	28,056	1,574
Florida	20,984,400	5,370,860	11,288,419	3,224,452	578,136	42,654
Georgia	10,429,379	1,001,472	5,487,048	3,245,371	408,067	18,335
Hawaii	1,427,538	150,125	310,584	22,629	532,881	1,659
Idaho	1,716,943	213,619	1,407,302	10,947	22,698	19,136
Illinois	12,802,023	2,206,927	7,834,272	1,790,512	689,701	12,784
Indiana	6,666,818	461,618	5,278,785	613,080	146,611	9,694
Iowa	3,145,711	185,746	2,701,250	103,989	80,937	7,825
Kansas	2,913,123	345,510	2,210,739	161,148	85,386	17,617
Kentucky	4,454,189	155,163	3,769,995	355,829	64,381	6,882
Louisiana	4,684,333	243,620	2,739,086	1,505,991	83,959	21,942
Maine	1,335,907	21,899	1,247,090	15,761	15,141	8,225
Maryland	6,052,177	612,709	3,066,146	1,776,692	389,297	11,879
Massachusetts	6,859,819	811,292	4,906,564	477,846	450,311	9,439
Michigan	9,962,311	504,398	7,476,534	1,359,264	306,376	45,421
Minnesota	5,576,606	296,666	4,455,056	356,949	272,228	53,674
Mississippi	2,984,100	86,035	1,688,447	1,130,323	27,467	13,240
Missouri	6,113,532	255,803	4,854,821	694,270	123,227	21,332
Montana	1,050,493	38,933	906,221	4,380	7,182	62,126
Nebraska	1,920,076	209,917	1,517,634	87,147	46,837	12,823
Nevada	2,998,039	864,663	1,462,301	265,472	249,834	27,991
New Hampshire	1,342,795	50,393	1,212,790	18,023	35,602	1,500
New Jersey	9,005,644	1,840,433	4,939,479	1,148,321	882,064	9,074
New Mexico	2,088,070	1,018,344	780,688	38,022	27,514	182,991
New York	19,849,399	3,811,654	10,936,578	2,846,481	1,718,948	41,752
North Carolina	10,273,419	962,466	6,472,902	2,175,617	293,050	111,317
North Dakota	755,393	26,479	637,291	22,830	12,699	40,745
Ohio	11,658,609	436,762	9,204,374	1,421,030	256,437	17,866
Oklahoma	3,930,864	417,708	2,576,937	283,068	84,404	288,580
Oregon	4,142,776	540,924	3,132,752	74,345	180,042	38,855
Pennsylvania	12,805,537	938,428	9,780,941	1,367,815	442,425	14,498
Rhode Island	1,059,639	163,346	763,670	57,196	37,798	3,134
South Carolina	5,024,369	285,990	3,197,812	1,344,741	74,889	12,370
South Dakota	869,666	31,278	715,927	16,345	10,612	74,563
Tennessee	6,715,984	361,203	4,962,226	1,115,187	118,312	13,699
Texas	28,304,596	11,158,751	11,855,092	3,330,204	1,344,963	71,859
Utah	3,101,833	434,290	2,428,495	35,689	74,530	30,073
Vermont	623,657	11,932	578,706	7,731	11,073	1,971
Virginia	8,470,020	790,662	5,226,540	1,595,039	539,382	20,568
Washington	7,405,743	940,792	5,077,103	262,211	625,939	75,535
West Virginia	1,815,857	22,807	1,670,509	71,358	13,695	2,391
Wisconsin	5,795,483	397,847	4,706,315	362,314	158,583	44,664
Wyoming	579,315	58,122	486,586	5,154	4,586	12,341